brand,note,name,top,middle,bottom,concentration,first,second,third,fourth,fifth,sex,
Dior,woody chypre,bois d' argent 2004 dior,"iris, cypress, juniper berries","myrrh, patchouli","woody note, honey, vanilla, resins, amber, musk, leather",edp,woody,amber,powdery,iris,sweet,"m, uni",
Dior,leather,cuir cannage dior,"ylang ylang, orange blossom, bergamot","leather, rose, iris, jasmine","leather, birch, juniper, tobacco, violet, cade oil",edp,leather,iris,smoky,woody,white floral,"m, uni",
Dior,floral woody musk,dior grand bal,xxxx,"jasmine, orange blossom, ylang ylang, musk, sandal wood, bergamot",xxxx,edp,white floral,yellow floral,citrus,woody,sweet,f,
Dior,amber fougere,eau noire dior,"thyme, sage","lavender, coffee, virginia cedar, immortelle, saffron","licorice, vanilla, violet, leather, stems greens",edp,aromatic,soft spicy,lavender,coffee,warm spicy,"m, uni",
Dior,amber vanilla,feve delicieuse 2015 dior,"lavender, mint, bergamot","sour cherry, jasmine, freesia","tonka nut, vanilla, cacao pod, caramel, praline, benzoin, milk, sandal wood, leather, cedar",edp,sweet,vanilla,amber,warm spicy,aromatic,"f, uni",
Dior,chypre floral,gris montaigne dior,"bergamot, grapefruit","rose, strawberry, jasmine, ylang ylang, orange blossom","patchouli, oakmoss, sandal wood, amber, cedar, white musk",edp,woody,earthy,patchouli,rose,mossy,"f, uni",
Dior,floral woody musk,la colle noire 2016 dior,lemon,"may rose, spices, peony, lily of the valley, black currant, raspberry, peach","white musk, sandal wood, amber, heliotrope, agarwood(oud)",edp,rose,floral,powdery,fresh,musky,f,
Dior,citrus aromatic,colongne royale dior,xxxx,"citruses, neroli, musk",xxxx,edp,citrus,fresh,musky,white floral,fresh spicy,uni,
Dior,aromatic,granville dior,"lemon, rosemary, thyme","pine tree, dyer's greenweed","pepper, sandal wood, woody note",edp,aromatic,woody,fresh spicy,citrus,xxxx,"m, uni",
Dior,leather,leather oud dior 2010,xxxx,"civetta, leather, agarwood(oud), beeswax, birch, french labdanum, amber, clove, cardamom, sandal wood, patchouli, cedar, vetiver, amyris",xxxx,edp,animalic,leather,musky,oud,woody,"m, uni",
Dior,amber spicy,mitzah dior,"coriander, cardamom","cinnamon, rose","incence, white honey, labdanum, patchouli, amber, vanilla",edp,warm spicy,amber,cinnamon,honey,balsamic,uni,
Dior,"amber floral, florienatal",new look 1947 dior 2010,xxxx,"ylang ylang, benzoin, vanilla, iris, tuberose, rose, peony, jasmine",xxxx,edp,vanilla,white floral,floral,rose,yellow floral,"f, uni",
Dior,amber woody,patchouli imperial dior 2011,xxxx,"patchouli leaf, sandal wood, coriander, bergamot, cedar, mandarin",xxxx,edp,woody,patchouli,warm spicy,aromatic,citrus,"m, uni",
Dior,woody,vetiver dior,xxxx,"vetiver, coffee",xxxx,edp,aromatic,woody,earthy,coffee,warm spicy,m,
Dior,"amber floral, florienatal",oud ispahan dior 2012,labdanum,"rose, patchouli, saffron","agarwood(oud), sandal wood, cedar",edp,oud,rose,woody,amber,warm spicy,uni,
Dior,floral,les creations de monsieur dior diorama,"ylang ylang, bergamot","jasmine, caraway, peach, plum, rose","patchouli, cedar",edt,white floral,fruity,woody,sweet,fresh spicy,f,
Dior,chypre floral,les creations de monsieur dior diorella,lemon,honeysuckle,vetiver,edt,citrus,white floral,aromatic,woody,fruity,"f, uni",
Dior,chypre floral,les creations de monsieur dior dioressence,geranium,cinnamon,patchouli,edt,warm spicy,fresh spicy,patchouli,cinnamon,aromatic,"f, uni",
Dior,floral,les creations de monsieur dior diorissimo edp,lily of the valley,jasmine,musk,edp,fresh,green,xxxx,xxxx,xxxx,f,
Dior,floral green,les creations de monsieur dior diorissimo edt,ylang ylang,lily of the valley,jasmine,edt,fresh,green,yellow floral,xxxx,xxxx,f,
Dior,chypre,les creations de monsieur dior diorling,bergamot,jasmine,"leather, patchouli",edt,leather,white floral,patchouli,citrus,woody,"f, uni",
Dior,citrus aromatic,les creations de monsieur dior eau fraiche,mandarin orange,petitgrain,patchouli,edt,citrus,patchouli,woody,green,aromatic,uni,
Dior,floral,les creations de monsieur dior forever and ever,freesia,jasmine,tincture of rose,edt,floral,rose,white floral,xxxx,xxxx,f,
Dior,fresh woody,balade sauvage dior,"ozonic note, petitgrain, bergamot","fig tree, fig, solar note, sea note, peach, hedione, orange blossom, rose","pebbles, labdanum, amber wood, vanilla",edp,woody,fruity,citrus,sweet,aromatic,uni,
Dior,fruity floral,belle de jour dior,xxxx,"rose, pear, white pear, white peach, powdery note, woody note, pear ice cream",xxxx,edp,fruity,rose,powdery,sweet,woody,f,
Dior,floral,dioramour dior,xxxx,"powdery note, iris, jasmine",xxxx,edp,powdery,iris,white floral,violet,earthy,f,
Dior,aromatic fruity,diorissima dior,xxxx,"orange, gardenia, musk",xxxx,edp,citrus,white floral,musky,sweet,lactonic,"f, uni",
Dior,"amber floral, florienatal",eden roc dior,"sea salt, citruses, mineral note","jasmine, mastic or lentisque, coconut","piine tree, labdanum",edp,citrus,salty,mineral,white floral,fresh,uni,
Dior,floral,gris dior,xxxx,"rose, oakmoss, patchouli, bergamot, amber, cedar, sandal wood",xxxx,edp,woody,rose,earthy,mossy,patchouli,"f, uni",
Dior,floral fruity,happy hour dior,xxxx,"cranberry, ylang ylang, jasmine",xxxx,edp,yellow floral,fruity,sweet,white floral,woody,"f, uni",
Dior,floral woody musk,holy peony dior,xxxx,"peony, rose, red fruits, musk, apricot, green leaves, woody note",xxxx,edp,rose,floral,fresh,fruity,musky,f,
Dior,floral,jasmin des anges dior,bergamot,"jasmine, apricot, osmanthus, peach","white musk, vanilla",edp,fruity,white floral,floral,sweet,powdery,f,
Dior,floral,lucky dior,xxxx,"lily of the valley, white flowers, ozonic note",xxxx,edp,white floral,fresh,ozonic,green,xxxx,"f, uni",
Dior,amber woody,oud rose wood dior,"raspberry, quince","animal note, sandal wood","agarwood(oud), palisander rosewood",edp,woody,fruity,sweet,oud,animalic,"m, uni",
Dior,amber woody,purple oud dior,xxxx,"agarwood(oud), saffron, pink pepper, orange",xxxx,edp,oud,warm spicy,citrus,soft spicy,leather,"m, uni",
Dior,floral,rose gipsy dior,xxxx,"rose de mai, green note, dew drop, floral note, spicy note",xxxx,edp,rose,floral,green,aquatic,xxxx,"f, uni",
Dior,floral,rose kabuki dior,xxxx,"rose, dew drop, musk",xxxx,edp,rose,aquatic,musky,floral,powdery,f,
Dior,chypre fruity,rouge trafalgar dior,"raspberry, strawberry, cherry, mandarin orange","black currant, grapefruit","musk, patchouli",edp,fruity,sweet,citrus,musky,cherry,"f, uni",
Dior,floral,sakura dior,green note,"japanese cherry blossom, rose, jasmine, hedione","violet, mimosa, white musk",edp,floral,fresh,powdery,rose,green,f,
Dior,floral woody,santal noir dior,xxxx,"sandalwood, musk note, fruity note, rose",xxxx,edp,xxxx,xxxx,xxxx,xxxx,xxxx,uni,
Dior,floral,souffle de soie dior,bergamot,"jasmine, rose, tuberose, elemi","white musk, patchouli, violet, vanilla, cinnamon",edp,white floral,powdery,tuberose,rose,aromatic,f,
Dior,amber spicy,spice blend dior,"rum, ginger","pink pepper, cinnamon, black pepper, cloves, nutmeg, coriander","bay leaf, woody note",edp,warm spicy,fresh spicy,soft spicy,cinnamon,rum,"m, uni",
Dior,aromatic fruity,terra bella dior,xxxx,"cypress, orange blossom, myrtle",xxxx,edp,aromatic,white floral,fresh spicy,woody,herbal,uni,
Dior,floral,the cachemire dior,"prtitgrain, bergamot, lemon, bitter orange","white tea, hedione, honeysuckle, black currant, rose, magnolia","mate, iso e super, musk, smoke, orris",edp,citrus,green,fresh,woody,aromatic,"f, uni",
Dior,amber,tobacolor dior,xxxx,"tobacco, tobacco leaf, honey, smoke, white tobacco, plum, oriental note, peach, amber, citruses",xxxx,edp,sweet,honey,tobacco,fruity,smoky,"m, uni",
Dior,amber vanilla,vanilla diorama dior,"orange, pink pepper, lemon","rum, cacao, cardamom","bourbon vanilla, sandal wood, patchouli",edp,warm spicy,vanilla,citrus,woody,sweet,"f, uni",
Dior,chypre floral,miss dior 2012,mandarin,"rose, jasmine","patchouli, musk",edp,patchouli,citrus,rose,woody,white floral,f,
Dior,floral fruity,miss dior absolutely blooming,"raspberry, black currant, pomegranate, pink pepper","may rose, peony",white musk,edp,fruity,rose,sweet,floral,woody,f,
Dior,floral,miss dior absolutely blooming roller pearl,"raspberry, black currant, pomegranate, pink pepper","rose, peony",white musk,edp,fruity,rose,floral,sweet,woody,f,
Dior,floral,miss dior blooming bouquet,mandarin,"pink peony, rose, apricot, peach",white musk,edt,floral,rose,fresh,fruity,musky,f,
Dior,floral,miss dior blooming bouquet roller pearl,"beramot, sicilian mandarin","peony, rose, peach, apricot",white musk,edt,rose,floral,citrus,fresh,fruity,f,
Dior,chypre floral,miss dior cherie blooming bouquet 2011,"citruses, orange","peony, rose","patchouli, musk",edt,rose,floral,citrus,fresh,patchouli,f,
Dior,chypre fruity,miss dior cherie edp,"strawberry, mandarin orange","rose, jasmine","patchouli, sandal wood, amber, oak moss, vetiver",edp,fruity,woody,sweet,patchouli,earthy,f,
Dior,chypre floral,miss dior cherie edt 2010,"fruity note, tuberose, freesia, jasmine, lily of the valley, african orange flower","praline, popcorn, vanilla",patchouli,edt,sweet,fruity,vanilla,lactonic,patchouli,f,
Dior,floral,miss dior cherie l'eau,bitter orange,gardenia,musk,edt,white floral,citrus,musky,lactonic,fresh,f,
Dior,chypre floral,miss dior edp 2017,"pink pepper, blood orange, sweet orange, mandarin orange, bergamot, lemon","rose, jasmine leaf","patchouli, palisander rosewood",edp,citrus,rose,woody,patchouli,sweet,f,
Dior,chypre floral,miss dior edt 2019,"blood orange, mandarin orange","rose, lily of the valley",patchouli,edt,citrus,rose,patchouli,woody,white floral,f,
Dior,chypre floral,miss dior edt originale,galbanum,jasmine sambac,patchouli,edt,green,white floral,patchouli,aromatic,balsamic,"f, uni",
Dior,chypre floral,miss dior edt roller pearl 2019,"blood orange, mandarin orange","rose, lily of the valley",patchouli,edt,citrus,rose,patchouli,floral,woody,f,
Dior,chypre floral,miss dior eau fraiche,"citruses, bergamot, galbanum","jasmine, gardenia",patchouli,edt,citrus,white floral,patchouli,woody,green,f,
Dior,chypre floral,miss dior le parfum,mandarin orange,rose,"amber, patchouli, vanilla",edp,amber,patchouli,rose,vanilla,citrus,f,
Dior,floral,miss dior rose n'roses,"geranium, bergamot, mandarin",rose,white musk,edt,rose,musky,fresh spicy,citrus,aromatic,f,
Dior,floral,miss dior rose n'roses roller pearl,"geranium, bergamot, mandarin",rose,white musk,edt,rose,citrus,fresh spicy,aromatic,floral,f,
Dior,amber vanilla,hypnotic poison dior,"coconut, plum, apricot","brazilian rosewood, jasmine, caraway, tuberose, rose, lily of the valley","vanilla, almond, sandal wood, musk",edt,vanilla,sweet,almond,fruity,nutty,f,
Dior,amber vanilla,hypnotics poison edp dior,"licorice, almond","jasmine sambac, orange blossom","vanilla, tonka nut",edp,vanilla,sweet,soft spicy,almond,white floral,f,
Dior,"amber floral, florienatal",hypnotic poison eau secrete dior,"sicilian mandrin, orange, bergamot","jasmine sambac, neroli",vanilla,edt,citrus,vanilla,white floral,sweet,fresh spicy,f,
Dior,amber vanilla,hypnotic poison roller pearl,xxxx,"vanilla, bitter almond, star anise, sandal wood, jasmine sambac, musk",xxxx,edt,vanilla,almond,powdery,soft spicy,anis,f,
Dior,woody chypre,midnight poison,"bergamot, mandarin orange",rose,"patchouli, amber, vanilla",edp,patchouli,citrus,rose,woody,amber,"f, uni",
Dior,"amber floral, florienatal",poison dior,"plum, wild berries, coriander, anise, rosewood","tuberose, incense, white honey, cinnamon, opoponax, carnation, jasmine, african orange flower, rose","vanilla, amber, sandal wood, musk, heliotrope, vetiver, cedar",edt,fruity,sweet,amber,white floral,woody,f,
Dior,amber vanilla,poison girl dior,"bitter orange, lemon",rose orange blossom,"vanilla, almond, tonka nut, tolu balsam, sandal wood, heliotrope, cashmeran",edp,vanilla,sweet,almond,powdery,amber,f,
Dior,amber vanilla,poison girl edt dior,"frosted orange, bitter orange, lemon","neroli, orange blossom, rose","vanilla, caramel, tonka nut, heliotrope, cashmeran",edt,citrus,vanilla,sweet,caramel,powdery,f,
Dior,amber vanilla,poison girl edt roller pearl,"frosted orange, bitter orange, lemon","neroli, orange blossom, rose","vanilla, caramel, tonka nut, heliotrope, cashmeran",edt,citrus,vanilla,sweet,powdery,caramel,f,
Dior,amber vanilla,poison girl unexpected,"ginger, blood orange, lemon",rose,"vanilla, tonka nut, hazelnut, cashmeran",edt,vanilla,citrus,warm spicy,sweet,woody,f,
Dior,amber vanilla,poison girl unexpected roller pearl,"blood orange, ginger, lemon",rose,"vanilla, tonka nut, hazelnut, cashmeran",edt,citrus,vanilla,warm spicy,sweet,woody,f,
Dior,floral,pure poison dior,"jasmine, orange, bergamot, mandarin","gardenia, orange blossom","sandal wood, white amber, cedar, white musk",edp,white floral,citrus,woody,xxxx,xxxx,f,
Dior,floral,pure poison elixir,"jasmine, mandarin orange, petitgrain, bergamot","african orange flower, gardenia","cacao, vanilla, amber",edp,white floral,citrus,cacao,vanilla,sweet,f,
Dior,floral,tendre poison dior,"asafoetida, bergamot, rosewood, mandarin orange","tuberose, honey, orange blossom, freesia, rose","musk, sandal wood, heliotrope, vanilla",edt,white floral,citrus,floral,tuberose,sweet,f,
Dior,aromatic fougere,sauvage dior,"bergamot, pepper","pepper, lavender, pink pepper, vetiver, patchouli, geranium, elemi","ambroxan, cedar, labdanum",edt,fresh spicy,amber,citrus,aromatic,musky,m,
Dior,amber fougere,sauvage edp dior,bergamot,"pepper, lavender, star anise, nutmeg","ambroxan, vanilla",edp,fresh spicy,citrus,amber,musky,lavender,m,
Dior,aromatic,sauvage elixir dior,"cinnamon, nutmeg, cardamom, grapefruit",lavender,"licorice, sandalwood, amber, patchouli, vetiver",parfum,warm spicy,woody,fresh spicy,lavender,aromatic,m,
Dior,amber fougere,sauvage parfum dior,"bergamot, mandarin orange, elemi",sandal wood,"olibanum, tonka nut, vanilla",parfum,citrus,amber,woody,aromatic,vanilla,m,
Dior,aromatic fougere,sauvage very cool spray,"grapefruit, bergamot, pepper","lavender, pepper, patchouli, elemi, pink pepper, geranium, vetiver","ambroxan, cedar",edt,fresh spicy,citrus,aromatic,woody,amber,m,
Diesel,woody aromatic,bad diesel,"lavender, bergamot, cardamom, violet leaf","caviar, orris root, sage","woody note, tobacco, ambroxan, tonka bean, patchouli",edt,aromatic,woody,lavender,warm spicy,citrus,m,
Diesel,woody spicy,bad intense diesel,"nutmeg, cinnamon, bergamot",caviar,"white tobacco, woody note",edt,white floral,woody,fresh spicy,animalic,cinnamon,m,
Diesel,woody aromatic,diesel fuel for life cologne for men,"star anise, pink pepper","lavender, raspberry","heliotrope, vetiver",edt,lavender,soft spicy,aromatic,powdery,fruity,m,
Diesel,chypre floral,diesel fuel for life cologne for women,"grapefruit, black currant, mandarin orange, pink pepper",jasmine,"musk, patchouli",edt,citrus,fruity,musky,patchouli,woody,f,
Diesel,floral fruity,diesel fuel for life unlimited,"lemon, guava, mandarin orange, peach","licorice, jasmine, tuberose, aloe vera, lily","sandal wood, cedar, musk",edp,citrus,soft spicy,white floral,anis,aromatic,f,
Diesel,floral fruity,diesel fuel for life unlimited edt,"mandarin orange, cinnamon","freesia, gardenia",praline,edt,citrus,floral,cinnamon,sweet,white floral,f,
Diesel,floral fruity,fuel for life denim collection femme,raspberry,jasmine,"woody note, amber",edt,fruity,white floral,woody,amber,sweet,"f, uni",
Diesel,chypre floral,fuel for life femme,"mandarin, orange, pink pepper","jasmine, nutmeg","patchouli, vetiver",edp,patchouli,woody,citrus,earthy,white floral,f,
Diesel,aromatic,fuel for life he summer,"ozonic note, grapefruit, mandarin orange","lavender, geranium","veyiver, amber",edt,ozonic,aromatic,citrus,lavender,fresh spicy,"m, uni",
Diesel,aromatic fougere,fuel for life homme,"anise, grapefruit","raspberry, lavender","woody note, heliotrope",edt,fruity,sweet,anis,lavender,soft spicy,"m, uni",
Diesel,amber fougere,fuel for life spirit,"cinnamon, bergamot","iris, orange blossom","amber, incense, woody note",edt,amber,warm spicy,cinnamon,woody,iris,m,
Diesel,floral woody musk,diesel green feminine,"ginger, lime","cinnamon, cloves, carnation, orange blossom, jasmine, iris, rose","sandal wood, cedar, amber, vanilla, musk",edt,warm spicy,citrus,woody,cinnamon,powdery,f,
Diesel,amber vanilla,loverdose diesel,"star anise, mandarin orange","licorice, jasmine, gardenia","vanilla, amber, woody note",edp,soft spicy,anis,vanilla,sweet,white floral,f,
Diesel,amber vanilla,loverdose red kiss,"sugar, black currant, apple, bergamot","cacao pod, hazlenut, orange blossom, apricot","patchouli, amber",edp,sweet,fruity,woody,cacao,nutty,f,
Diesel,floral gourmand,loverdose  tattoo,"cassis, bergamot, mandarin orange","jasmine sambac, rose, orange blossom","milk, rice, vanilla, tonka nut",edp,lactonic,vanilla,sweet,gourmand,aromatic,f,
Diesel,floral,loverdose tattoo edt,"tea, cassis, mandarin orange, lemon","magnolia, rose","tonka nut, rice",edt,citrus,green,aromatic,floral,sweet,f,
Diesel,amber woody,only the brave diesel,"lemon, mandarin orange","violet, cedar, coriander","amber, leather, benzoin, labdanum, styrax",edt,amber,citrus,leather,animalic,woody,m,
Diesel,amber woody,only the brave extreme,"apple, mandarin orange, lemon","leather, rose, coriander","tonka nut, styrax, labdanum",edt,amber,citrus,fruity,leather,rose,m,
Diesel,woody aromatic,only the brave high,"mint, grapefruit, ginger, yuzu",geranium,"aoody mote, amber",edt,citrus,fresh spicy,aromatic,green,warm spicy,"m, uni",
Diesel,leather,only the brave silver,"mandarin orange, citron, coriander, lemon","rosemary, labdanum, violet leaf","leather, amber, cedar",edt,citrus,aromatic,woody,amber,leather,m,
Diesel,woody spicy,only the brave street,"basil, apple, bergamot, thyme","licorice, cardamum, hedione","vanilla, vetiver, amberwood, cedar, patchouli",edt,aromatic,fresh spicy,woody,green,soft spicy,m,
Diesel,woody spicy,only the brave tattoo,"red apple, mandarin orange","pepper, sage","tobacco, benzoin, woody note, patchouli",edt,fruity,tobacco,sweet,warm spicy,amber,m,
Diesel,woody spicy,only the brave wild,"lemongrass, grapefruit, black pepper","nutmeg, lavender, coumarin, geranium","coconut milk, moss, cedar, vetiver",edt,fresh spicy,citrus,coconut,aromatic,woody,m,
Diesel,woody aromatic,sound of the brave,"juniper, lemon",sweet grass,amberwood,edt,woody,aromatic,amber,citrus,balsamic,m,
Diesel,amber woody,spirit of the brave,"bergamot, galbanum","fir, cypress","tonka nut, labdanum",edt,aromatic,woody,fresh spicy,citrus,green,m,
Diesel,amber fougere,spirit of the brave intense,"apple, bergamot","cypress, sage","vanilla, amber, patchouli",edt,woody,aromatic,vanilla,fresh spicy,fruity,m,
Diesel,"strawberry milk,????",plus plus feminine,"bitter orange, pineapple, fruity note, cassis, lily of the valley","milk, coconut, lily, cherry, strawberry, red apple, orchid, jasmine, magnolia","vanilla, musk, nutmeg, sandalwood, orris root, amber, cedar",edt,lactonic,sweet,coconut,vanilla,fruity,uni,
Diesel,amber woody,plus plus masculine,"orange, bergamot, palm leaf, heliotrope","jasmine, coriander, birch, violet, sage, green note, cardamom, lily of the valley","cinnamon, tonka nut, nutmeg, sandal wood, patchouli, musk, clove, anise, vetiver, oak moss",edt,warm spicy,citrus,aromatic,woody,fresh spicy,"m, uni",
Diesel,amber woody,zero plus masculine,"nutmeg, cardamom, anise, orange, bergamot","cinnamon, rose, violet, jasmine, lily of the valley","vanilla, musk, amber, heliotrope, patchouli",edt,warm spicy,cinnamon,powdery,vanilla,fresh spicy,m,
Diptyque,"amber floral, florienatal",othoniel rosa,"black pepper, spices",rose,"vetiver, akigalawood, ambrette(musk mallow)",edt,rose,warm spicy,woody,fresh spicy,aromatic,uni,
Diptyque,chypre floral,34 boulevard saint germain,"clove, cinnamon, black currant, cardamom, fig leaf, pink pepper, green note, citruses","geranium, tuberose, iris, rose, violet","resin, woody note, eucalyptus",edt,warm spicy,woody,green,aromatic,amber,uni,
Diptyque,amber woody,34boulevard saint germain edp,"cinnamon, clove, cassis, pink pepper, citruses, iris, violet, geranium, rose, tuberose","iris, violet, geranium, rose, tuberose","woody note, sandal wood, amber, vanilla",edp,woody,warm spicy,powdery,cinnamon,soft spicy,"m, uni",
Diptyque,aromatic green,l'eau du trente quatre,xxxx,"currant buds, guaiac wood, mastic or lentisque, moss",xxxx,edt,woody,aromatic,earthy,fruity,green,uni,
Diptyque,floral,do son limited edition,"orange blossom, rose, iris","tuberose, pink pepper","benzoin, musk",edt,white floral,tuberose,animalic,musky,citrus,"f, uni",
Diptyque,floral,l'ombre dans l'eau limited edition,"cassis, beergamot, mandarin orange","black currant  leaf, rose, black currant","musk, ambergris",edt,fruity,green,aromatic,rose,soft spicy,"f, uni",
Diptyque,floral,impossible bouquet do son,"iris, orange blossom, rose","tuberose, pink pepper","musk, benzoin",edt,white floral,iris,powdery,tuberose,musky,"f, uni",
Diptyque,floral fruity,impossible bouquet eau rose,"litchi, black currant, bergamot","rose, geranium, jasmine","honey, musk, cedar",edt,fruity,rose,floral,fresh spicy,tropical,f,
Diptyque,floral,impossible bouquet l'ombre dans l'eau,"cassis, bergamot, mandarin orange","black currant  leaf, rose, black currant","musk, ambergris",edt,fruity,aromatic,green,soft spicy,rose,"f, uni",
Diptyque,floral,impossible bouquet olene,"honeysuckle, narcissus","jasmine, wisteria","white flower, green note",edt,white floral,green,yellow floral,fruity,xxxx,f,
Diptyque,floral,do son edt,"african orange flower, iris, rose","tuberose, pink pepper","benzoin, musk",edt,white floral,tuberose,animalic,citrus,xxxx,"f, uni",
Diptyque,floral,do son edp,xxxx,"tuberose, orange leaf, musk, pink pepper",xxxx,edp,tuberose,musky,green,animalic,citrus,"f, uni",
Diptyque,chypre floral,eau capitale,"pink pepper, bergamot",rose,patchouli,edp,rose,patchouli,woody,warm spicy,citrus,"f, uni",
Diptyque,aromatic spicy,eau duelle edp,xxxx,"vanilla, spices, ambroxan, rose",xxxx,edp,vanilla,amber,warm spicy,musky,powdery,"f, uni",
Diptyque,amber woody,eau rihla,"saffron, raspberry, pink pepper","leather, iris, cedar","vanilla, musk",edp,leather,powdery,iris,warm spicy,vanilla,"m, uni",
Diptyque,floral aldehyde,fleur de peau,"aldehydes, basil, pink pepper, angelica, bergamot","iris, rose","musk, ambrette(musk mallow), carrot, ambergris, sandalwood, leather, amberwood",edp,musky,powdery,iris,aldehydic,amber,"f, uni",
Diptyque,floral,l'ombre dans l'eau edt,xxxx,"cassis, rose, black currant leaf, black currant, bergamot, ambergris, musk, mandarin orange",xxxx,edt,fruity,green,aromatic,soft spicy,rose,"f, uni",
Diptyque,floral,l'ombre dans l'eau edp,xxxx,"cassis, rose, black currant leaf, black currant, bergamot, ambergris, musk, mandarin orange",xxxx,edp,fruity,green,aromatic,soft spicy,rose,"f, uni",
Diptyque,woody chypre,orpheon,juniper berries,jasmine,"powdery note, cedar, tonka nut",edp,powdery,woody,aromatic,white floral,fresh spicy,"f, uni",
Diptyque,amber woody,oud palao,xxxx,"laotian oud, rose, tobacco, labdanum, rum, sandal wood, camphor, patchouli, vanilla",xxxx,edp,woody,oud,rose,tobacco,sweet,"m, uni",
Diptyque,woody aromatic,philosykos,"fig leaf, fig","green note, coconut","fig tree, woody note, cedar",edt,green,woody,sweet,fresh,fruity,"f, uni",
Diptyque,aromatic green,philosykos edp,"fig leaf, fig",fig tree,"woody note, black pepper",edp,woody,green,fresh,fruity,sweet,uni,
Diptyque,aromatic spicy,tempo,xxxx,"patchouli, mate, clary sage, pink pepper, violet leaf, bergamot",xxxx,edp,aromatic,patchouli,woody,soft spicy,warm spicy,"m, uni",
Diptyque,floral woody musk,vetyverio edp,"grapefruit, mandarin orange",rose,"vetiver, patchouli",edp,citrus,woody,aromatic,earthy,rose,"m, uni",
Diptyque,woody,volutes edp,xxxx,"tobacco, iris, honey, spices, styrax",xxxx,edp,tobacco,sweet,iris,honey,powdery,"m, uni",
Diptyque,floral green,eau de lierre,xxxx,"ivy, cyclamen, musk, geranium, woody note, rosewood, ambergris",xxxx,edt,green,fresh,woody,ozonic,fresh spicy,uni,
Diptyque,citrus,eau des sens,"orange blossom, bitter orange",juniper berries,"angelica, patchouli",edt,citrus,white floral,musky,woody,aromatic,"f, uni",
Diptyque,amber spicy,eau duelle,xxxx,"vanilla, elemi resin, cardamom, juniper, olibanum, pink pepper black tea, ambergris, bergamot, saffron, musk",xxxx,edt,aromatic,vanilla,fresh spicy,warm spicy,balsamic,"f, uni",
Diptyque,amber,eau lente,"clove, cinnamon",spices,opoponax,edt,warm spicy,cinnamon,amber,balsamic,sweet,uni,
Diptyque,floral aldehyde,fleur de peau multiuse fragrance,"bergamot, aldehydes","lily of the valley, iris, jasmine","ambrette(musk mallow), musk",edp,white floral,musky,fresh,floral,citrus,"f, uni",
Diptyque,aromatic spicy,florabellio,"sea note, sea salt, fennel","apple blossom, osmanthus","coffee, sesame",edt,marine,floral,salty,aromatic,coffee,"f, uni",
Diptyque,amber,l'eau,"cinnamon, rose",geranium,"cloves, sandal wood",edt,warm spicy,cinnamon,rose,fresh spicy,aromatic,uni,
Diptyque,woody spicy,l'eau trois,"rosemary, myrtle","myrrh, spices, caraway","pine tree, kyara incense(olibanum), myrrh",edt,aromatic,amber,fresh spicy,woody,warm spicy,"m, uni",
Diptyque,floral,essences insensees tiare,"green note, pink pepper","frangipani, tiare flower","vanilla, spices",edp,floral,white floral,green,vanilla,tropical,"f, uni",
Diptyque,floral,ofresia,pepper,freesia,woody note,edt,floral,fresh spicy,woody,xxxx,xxxx,f,
Diptyque,floral,olene,"narcissus, honeysuckle","jasmine, wisteria","white flower, green note",edt,white floral,floral,green,yellow floral,xxxx,f,
Diptyque,citrus aromatic,oyedo,"mandarin orange, yuzu, lemon, lime",thyme,woody note,edt,citrus,aromatic,fresh spicy,xxxx,xxxx,"f, uni",
Diptyque,floral woody musk,tam dao,"cypress, myrtle, rose","sandal wood, cedar","rosewood, spices, amber, white musk",edt,woody,aromatic,powdery,warm spicy,xxxx,"m, uni",
Diptyque,floral woody musk,vetyverio,"grapefruit,lemon, bergamot, mandarin orange","geranium, rose, ylang ylang, nutmeg, carrot seeds, clove","vetiver, musk, cedar",edt,citrus,aromatic,woody,fresh spicy,powdery,"f, uni",
Diptyque,amber woody,benjoin boheme,xxxx,"benzoin, sandal wood, angelica, styrax, patchouli leaf",xxxx,edp,amber,warm spicy,woody,balsamic,powdery,uni,
Diptyque,"amber floral, florienatal",eau mage edp,mandarin orange,"spicy note, rose","amber, woody note, musk",edp,amber,warm spicy,rose,woody,musky,"m, uni",
Diptyque,floral,essences insensees 2014,"violet, pink pepper","mimosa, heliotrope, grasse rose","beeswax, mate, vanilla",edp,powdery,yellow floral,floral,vanilla,beeswax,"f, uni",
Diptyque,amber,kimonanthe,xxxx,"osmanthus, apricot, incense, camphor, spices, cloves, sandal wood, leather",xxxx,edp,fruity,warm spicy,floral,smoky,amber,"f, uni",
Diptyque,woody chypre,opone,xxxx,"rose, spices, saffron, guaiac wood, cumin",xxxx,edp,warm spicy,rose,floral,leather,woody,"m, uni",
Diptyque,aromatic fougere,eau de lavande,xxxx,"lavender, nutmeg, coriander, cinnamon",xxxx,edt,fresh spicy,lavender,aromatic,herbal,cinnamon,uni,
Diptyque,aromatic spicy,eau de minthe,"mint, nutmeg","geranium, rose",patchouli,edp,fresh spicy,aromatic,green,rose,patchouli,"m, uni",
Diptyque,floral woody musk,eau moheli,xxxx,"ylang ylang, floral note, ginger, pink pepper, vetiver, benzoin, patchouli, incense",xxxx,edt,yellow floral,floral,warm spicy,woody,sweet,"f, uni",
Diptyque,woody aromatic,eau plurielle,xxxx,"citruses, white musk, woody note",xxxx,edp,citrus,musky,woody,fresh,powdery,"f, uni",
